50:17:0021903:325,"443 000,00",904.0,"Павлово-Посадский р-н, г Павловский Посад"
50:18:0080307:659,"405 000,00",1040.0,Можайский р-н
16:20:050107:265,"6 000 000,00",813.0,"Зеленодольский муниципальный р-н, с Большие Ключи, ул Полевая, д. 1а"
50:26:0160601:45,,2572.0,"Наро-Фоминский р-н, пгт Алабино, ул Волочаевская, д. 60"
50:18:0040228:283,,500.0,"Можайский р-н, д Крылатки"
50:21:0050308:285,,370.0,"Ленинский р-н, с/о Картинский, тер ТЛПХ &quot;Вереск&quot;, уч. №31а"
50:10:0050106:1240,,56.3,"г Химки, ул Маяковского, д. 14, 104"
50:21:0050101:2809,,43.1,"Ленинский р-н, п Развилка, д. 22, 36"
50:17:0021903:328,"934 000,00",1947.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0021903:327,"934 000,00",1947.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0021903:330,"940 000,00",1960.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0000000:13172,"15 212 550,60",1111.6,"г Электрогорск, ул К.Маркса, д. 4"
33:12:010832:77,,368.1,"Собинский р-н, д Ваганово"
50:17:0021903:320,"198 000,00",775.0,"Павлово-Посадский р-н, г Павловский Посад"
54:35:062110:252,"50 820 000,00",4116.3,"г Новосибирск, ул Станционная, д. 60/1"
54:35:062110:253,,3731.2,"г Новосибирск, ул Станционная, д. 60/1"
54:35:062110:249,,673.1,"г Новосибирск, ул Станционная, д. 60/1"
54:35:062110:254,,111.4,"г Новосибирск, ул Станционная, д. 60/1"
54:35:062110:255,,348.7,"г Новосибирск, ул Станционная, д. 60/1"
54:35:062110:250,,30.5,"г Новосибирск, ул Станционная, д. 60/1"
54:35:062110:248,,149.5,"г Новосибирск, ул Станционная, д. 60/1"
54:35:062110:256,,1593.6,"г Новосибирск, ул Станционная, д. 60/1"
54:35:062110:772,,128.9,"г Новосибирск, ул Станционная, д. 60/1"
50:17:0021903:319,"250 000,00",510.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0021903:322,"546 000,00",1116.0,"Павлово-Посадский р-н, г Павловский Посад"
77:06:0007001:7381,,18.6,"пр-кт Ленинский, д. 131, XCII м/м 429"
77:06:0007001:7374,,18.4,"пр-кт Ленинский, д. 131, XCII м/м 422"
50:17:0021903:323,"603 000,00",1232.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0021903:321,"954 000,00",4248.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0021903:324,"738 000,00",1538.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0021903:326,"656 000,00",1340.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0021903:331,"100 000,00",204.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0011707:88,"238 750,20",534.0,"г Электрогорск, снт Нива, д. 88"
50:17:0000000:59642,"1 735 000,00",10243.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0000000:59643,"9 600 000,00",56683.0,"Павлово-Посадский р-н, г Павловский Посад"
50:17:0021102:8,"204 300,00",600.0,"Павлово-Посадский р-н, д Криулино, снт &quot;Магнит&quot;, уч-к 8"
